"ID","Player","Team","Position","Owner","Next Opponent","TFPts","TFP/G","Rostered %","+/- %","Date","Opponent","Score","Fantasy Points","Minutes Played","Goals","Assists (Official)","Assists (Second)","Key Passes (Assists on Shots)","Assists (Fantasy)","Shots on Target","Shots off the Post","Tackles Won","Dispossessed","Yellow Cards","Red Cards","Accurate Crosses","Accurate Crosses (No Corners)","Interceptions","Interceptions + Blocked Shots","Effective Clearances","Successful Dribbles (Contests Succeeded)","Blocked Crosses","Blocked Shots","Aerials Won","Penalty Kicks Missed","Penalty Kicks Drawn","Own Goals","Goals Against Outfielders ","Clean Sheets On Field"
"061vq","Erling Haaland","MCI","F","WCBFC","BOU Sun 9:30AM","189.5","21.06","100%","0%","Oct 26","AVL","L 0-1","9","90","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","3","0","0","0","4","0","0","0","1","0"
"061vq","Erling Haaland","MCI","F","WCBFC","BOU Sun 9:30AM","189.5","21.06","100%","0%","Oct 18","EVE","W 2-0","31","90","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","2","1","0","0","2","0","0","0","0","1"
"061vq","Erling Haaland","MCI","F","WCBFC","BOU Sun 9:30AM","189.5","21.06","100%","0%","Oct 5","BRF","W 1-0","14","90","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","1"
"061vq","Erling Haaland","MCI","F","WCBFC","BOU Sun 9:30AM","189.5","21.06","100%","0%","Sep 27","BUR","W 5-1","38","90","2","1","0","2","0","3","0","0","1","0","0","0","0","0","0","2","0","0","0","2","0","0","0","1","0"
"061vq","Erling Haaland","MCI","F","WCBFC","BOU Sun 9:30AM","189.5","21.06","100%","0%","Sep 21","ARS","T 1-1","15","75","1","0","0","0","0","2","0","0","2","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","1"
"061vq","Erling Haaland","MCI","F","WCBFC","BOU Sun 9:30AM","189.5","21.06","100%","0%","Sep 14","MUN","W 3-0","33","86","2","0","0","1","0","3","1","0","0","0","0","0","0","0","0","6","2","0","0","1","0","0","0","0","1"
"061vq","Erling Haaland","MCI","F","WCBFC","BOU Sun 9:30AM","189.5","21.06","100%","0%","Aug 31","BHA","L 1-2","19","90","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0"
"061vq","Erling Haaland","MCI","F","WCBFC","BOU Sun 9:30AM","189.5","21.06","100%","0%","Aug 23","TOT","L 0-2","2.5","90","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","2","0"
"061vq","Erling Haaland","MCI","F","WCBFC","BOU Sun 9:30AM","189.5","21.06","100%","0%","Aug 16","WOL","W 4-0","28","72","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@MCI Sun 9:30AM","178.5","19.83","100%","0%","Oct 26","NOT","W 2-0","8","88","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1"
