"ID","Player","Team","Position","Owner","Next Opponent","TFPts","TFP/G","Rostered %","+/- %","Date","Opponent","Score","Fantasy Points","Minutes Played","Goals","Assists (Official)","Assists (Second)","Key Passes (Assists on Shots)","Assists (Fantasy)","Shots on Target","Shots off the Post","Tackles Won","Dispossessed","Yellow Cards","Red Cards","Accurate Crosses","Accurate Crosses (No Corners)","Interceptions","Interceptions + Blocked Shots","Effective Clearances","Successful Dribbles (Contests Succeeded)","Blocked Crosses","Blocked Shots","Aerials Won","Penalty Kicks Missed","Penalty Kicks Drawn","Own Goals","Goals Against Outfielders ","Clean Sheets On Field"
"06znb","Robin Roefs","SUN","G","WCBFC","EVE Mon 1:00PM","124","13.78","75%","-2.7%","Oct 25","CHE","W 2-1","17.5","","0","","","0","","0","","0","0","0","0","","","0","","2","0","","","1","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","EVE Mon 1:00PM","124","13.78","75%","-2.7%","Oct 18","WOL","W 2-0","13.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","1"
"06znb","Robin Roefs","SUN","G","WCBFC","EVE Mon 1:00PM","124","13.78","75%","-2.7%","Oct 4","MUN","L 0-2","5.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","EVE Mon 1:00PM","124","13.78","75%","-2.7%","Sep 27","NOT","W 1-0","27.5","","0","","","2","","0","","0","0","0","0","","","0","","1","0","","","1","","","0","","1"
"06znb","Robin Roefs","SUN","G","WCBFC","EVE Mon 1:00PM","124","13.78","75%","-2.7%","Sep 21","AVL","T 1-1","2.5","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","EVE Mon 1:00PM","124","13.78","75%","-2.7%","Sep 13","CRY","T 0-0","23.5","","0","","","0","","0","","0","0","1","0","","","0","","1","0","","","2","","","0","","1"
"06znb","Robin Roefs","SUN","G","WCBFC","EVE Mon 1:00PM","124","13.78","75%","-2.7%","Aug 30","BRF","W 2-1","14.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","EVE Mon 1:00PM","124","13.78","75%","-2.7%","Aug 23","BUR","L 0-2","-0.5","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","EVE Mon 1:00PM","124","13.78","75%","-2.7%","Aug 16","WHU","W 3-0","20","","0","","","0","","0","","0","0","0","0","","","0","","3","0","","","2","","","0","","1"
"044ei","Nick Pope","NEW","G","Souf","@WHU Sun 7:00AM","116.5","12.94","99%","+0.1%","Oct 25","FUL","W 2-1","8","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","0"
