"ID","Player","Team","Position","Owner","Next Opponent","TFPts","TFP/G","Rostered %","+/- %","Date","Opponent","Score","Fantasy Points","Minutes Played","Goals","Assists (Official)","Assists (Second)","Key Passes (Assists on Shots)","Assists (Fantasy)","Shots on Target","Shots off the Post","Tackles Won","Dispossessed","Yellow Cards","Red Cards","Accurate Crosses","Accurate Crosses (No Corners)","Interceptions","Interceptions + Blocked Shots","Effective Clearances","Successful Dribbles (Contests Succeeded)","Blocked Crosses","Blocked Shots","Aerials Won","Penalty Kicks Missed","Penalty Kicks Drawn","Own Goals","Goals Against Outfielders ","Clean Sheets On Field"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","NEW Fri 1:00PM","319.75","18.81","100%","0%","Dec 4","WHU","T 1-1","23.25","90","0","0","0","5","0","1","1","3","1","0","0","2","1","0","0","3","0","0","0","2","0","0","0","1","0"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","NEW Fri 1:00PM","319.75","18.81","100%","0%","Nov 30","CRY","W 2-1","38","90","0","2","0","4","0","0","0","1","1","0","0","3","2","2","5","2","0","0","3","0","0","0","0","1","0"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","NEW Fri 1:00PM","319.75","18.81","100%","0%","Nov 24","EVE","L 0-1","9","90","0","0","0","2","0","1","0","0","0","0","0","1","0","1","1","2","0","0","0","0","0","0","0","1","0"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","NEW Fri 1:00PM","319.75","18.81","100%","0%","Nov 8","TOT","T 2-2","10.5","90","0","1","0","1","0","0","0","1","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","2","0"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","NEW Fri 1:00PM","319.75","18.81","100%","0%","Nov 1","NOT","T 2-2","21.75","90","0","1","0","4","0","0","1","0","1","0","0","1","0","2","2","1","0","0","0","1","0","0","0","2","0"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","NEW Fri 1:00PM","319.75","18.81","100%","0%","Oct 25","BHA","W 4-2","21","90","0","0","0","2","0","2","0","3","0","0","0","0","0","2","3","2","3","0","1","0","0","0","0","2","0"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","NEW Fri 1:00PM","319.75","18.81","100%","0%","Oct 19","LIV","W 2-1","17","84","0","1","0","3","0","0","1","0","2","0","0","2","1","0","0","2","0","0","0","0","0","0","0","1","0"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","NEW Fri 1:00PM","319.75","18.81","100%","0%","Oct 4","SUN","W 2-0","15.75","90","0","0","0","3","0","1","0","0","0","0","0","1","0","2","2","3","0","0","0","0","0","0","0","0","1"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","NEW Fri 1:00PM","319.75","18.81","100%","0%","Sep 27","BRF","L 1-3","-2.5","90","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","4","0","0","0","0","1","0","0","3","0"
"05gcr","Bruno Fernandes","MUN","M,F","Skyler","NEW Fri 1:00PM","319.75","18.81","100%","0%","Sep 20","CHE","W 2-1","19.5","86","1","0","0","1","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
