"ID","Player","Team","Position","Owner","Next Opponent","TFPts","TFP/G","Rostered %","+/- %","Date","Opponent","Score","Fantasy Points","Minutes Played","Goals","Assists (Official)","Assists (Second)","Key Passes (Assists on Shots)","Assists (Fantasy)","Shots on Target","Shots off the Post","Tackles Won","Dispossessed","Yellow Cards","Red Cards","Accurate Crosses","Accurate Crosses (No Corners)","Interceptions","Interceptions + Blocked Shots","Effective Clearances","Successful Dribbles (Contests Succeeded)","Blocked Crosses","Blocked Shots","Aerials Won","Penalty Kicks Missed","Penalty Kicks Drawn","Own Goals","Goals Against Outfielders ","Clean Sheets On Field"
"06znb","Robin Roefs","SUN","G","WCBFC","@BHA Sat 8:00AM","195.5","12.22","80%","0%","Dec 14","NEW","W 1-0","15","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","1","","","0","","1"
"06znb","Robin Roefs","SUN","G","WCBFC","@BHA Sat 8:00AM","195.5","12.22","80%","0%","Dec 6","MCI","L 0-3","5","","0","","","0","","0","","0","0","0","0","","","0","","2","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","@BHA Sat 8:00AM","195.5","12.22","80%","0%","Dec 3","LIV","T 1-1","17","","0","","","1","","0","","0","0","0","0","","","0","","0","0","","","3","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","@BHA Sat 8:00AM","195.5","12.22","80%","0%","Nov 29","BOU","W 3-2","9.5","","0","","","0","","0","","0","0","1","0","","","0","","1","0","","","1","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","@BHA Sat 8:00AM","195.5","12.22","80%","0%","Nov 22","FUL","L 0-1","11","","0","","","1","","0","","0","0","0","0","","","0","","1","0","","","1","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","@BHA Sat 8:00AM","195.5","12.22","80%","0%","Nov 8","ARS","T 2-2","10.5","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","1","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","@BHA Sat 8:00AM","195.5","12.22","80%","0%","Nov 3","EVE","T 1-1","3.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","@BHA Sat 8:00AM","195.5","12.22","80%","0%","Oct 25","CHE","W 2-1","17.5","","0","","","0","","0","","0","0","0","0","","","0","","2","0","","","1","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","@BHA Sat 8:00AM","195.5","12.22","80%","0%","Oct 18","WOL","W 2-0","13.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","1"
"06znb","Robin Roefs","SUN","G","WCBFC","@BHA Sat 8:00AM","195.5","12.22","80%","0%","Oct 4","MUN","L 0-2","5.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","@BHA Sat 8:00AM","195.5","12.22","80%","0%","Sep 27","NOT","W 1-0","27.5","","0","","","2","","0","","0","0","0","0","","","0","","1","0","","","1","","","0","","1"
"06znb","Robin Roefs","SUN","G","WCBFC","@BHA Sat 8:00AM","195.5","12.22","80%","0%","Sep 21","AVL","T 1-1","2.5","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","@BHA Sat 8:00AM","195.5","12.22","80%","0%","Sep 13","CRY","T 0-0","23.5","","0","","","0","","0","","0","0","1","0","","","0","","1","0","","","2","","","0","","1"
