"ID","Player","Team","Position","Owner","Next Opponent","TFPts","TFP/G","Rostered %","+/- %","Date","Opponent","Score","Fantasy Points","Minutes Played","Goals","Assists (Official)","Assists (Second)","Key Passes (Assists on Shots)","Assists (Fantasy)","Shots on Target","Shots off the Post","Tackles Won","Dispossessed","Yellow Cards","Red Cards","Accurate Crosses","Accurate Crosses (No Corners)","Interceptions","Interceptions + Blocked Shots","Effective Clearances","Successful Dribbles (Contests Succeeded)","Blocked Crosses","Blocked Shots","Aerials Won","Penalty Kicks Missed","Penalty Kicks Drawn","Own Goals","Goals Against Outfielders ","Clean Sheets On Field"
"044ei","Nick Pope","NEW","G","Souf","MCI Sat 10:30AM","139","12.64","99%","+0.1%","Nov 9","BRF","L 1-3","10.5","","0","","","0","","0","","0","0","0","0","","","0","","4","0","","","0","","","0","","0"
"044ei","Nick Pope","NEW","G","Souf","MCI Sat 10:30AM","139","12.64","99%","+0.1%","Nov 2","WHU","L 1-3","12","","0","","","0","","0","","0","0","0","0","","","0","","7","0","","","0","","","0","","0"
"044ei","Nick Pope","NEW","G","Souf","MCI Sat 10:30AM","139","12.64","99%","+0.1%","Oct 25","FUL","W 2-1","8","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","0"
"044ei","Nick Pope","NEW","G","Souf","MCI Sat 10:30AM","139","12.64","99%","+0.1%","Oct 18","BHA","L 1-2","8.5","","0","","","0","","0","","0","0","0","0","","","0","","3","0","","","1","","","0","","0"
"044ei","Nick Pope","NEW","G","Souf","MCI Sat 10:30AM","139","12.64","99%","+0.1%","Oct 5","NOT","W 2-0","17","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","0","","","0","","1"
"044ei","Nick Pope","NEW","G","Souf","MCI Sat 10:30AM","139","12.64","99%","+0.1%","Sep 28","ARS","L 1-2","16","","0","","","0","","0","","1","0","0","0","","","0","","3","0","","","1","","","0","","0"
"044ei","Nick Pope","NEW","G","Souf","MCI Sat 10:30AM","139","12.64","99%","+0.1%","Sep 21","BOU","T 0-0","14.5","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","1","","","0","","1"
"044ei","Nick Pope","NEW","G","Souf","MCI Sat 10:30AM","139","12.64","99%","+0.1%","Sep 13","WOL","W 1-0","15.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","1","","","0","","1"
"044ei","Nick Pope","NEW","G","Souf","MCI Sat 10:30AM","139","12.64","99%","+0.1%","Aug 30","LEE","T 0-0","12","","0","","","0","","0","","0","0","1","0","","","0","","1","0","","","2","","","0","","1"
"044ei","Nick Pope","NEW","G","Souf","MCI Sat 10:30AM","139","12.64","99%","+0.1%","Aug 25","LIV","L 2-3","7","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","0","","","0","","0"
"044ei","Nick Pope","NEW","G","Souf","MCI Sat 10:30AM","139","12.64","99%","+0.1%","Aug 16","AVL","T 0-0","18","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","1","","","0","","1"
"06znb","Robin Roefs","SUN","G","WCBFC","@FUL Sat 8:00AM","138","12.55","78%","-2.2%","Nov 8","ARS","T 2-2","10.5","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","1","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","@FUL Sat 8:00AM","138","12.55","78%","-2.2%","Nov 3","EVE","T 1-1","3.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","@FUL Sat 8:00AM","138","12.55","78%","-2.2%","Oct 25","CHE","W 2-1","17.5","","0","","","0","","0","","0","0","0","0","","","0","","2","0","","","1","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","@FUL Sat 8:00AM","138","12.55","78%","-2.2%","Oct 18","WOL","W 2-0","13.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","1"
"06znb","Robin Roefs","SUN","G","WCBFC","@FUL Sat 8:00AM","138","12.55","78%","-2.2%","Oct 4","MUN","L 0-2","5.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","@FUL Sat 8:00AM","138","12.55","78%","-2.2%","Sep 27","NOT","W 1-0","27.5","","0","","","2","","0","","0","0","0","0","","","0","","1","0","","","1","","","0","","1"
"06znb","Robin Roefs","SUN","G","WCBFC","@FUL Sat 8:00AM","138","12.55","78%","-2.2%","Sep 21","AVL","T 1-1","2.5","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","@FUL Sat 8:00AM","138","12.55","78%","-2.2%","Sep 13","CRY","T 0-0","23.5","","0","","","0","","0","","0","0","1","0","","","0","","1","0","","","2","","","0","","1"
"06znb","Robin Roefs","SUN","G","WCBFC","@FUL Sat 8:00AM","138","12.55","78%","-2.2%","Aug 30","BRF","W 2-1","14.5","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","@FUL Sat 8:00AM","138","12.55","78%","-2.2%","Aug 23","BUR","L 0-2","-0.5","","0","","","0","","0","","0","0","0","0","","","0","","1","0","","","0","","","0","","0"
"06znb","Robin Roefs","SUN","G","WCBFC","@FUL Sat 8:00AM","138","12.55","78%","-2.2%","Aug 16","WHU","W 3-0","20","","0","","","0","","0","","0","0","0","0","","","0","","3","0","","","2","","","0","","1"
"04mr4","Martin Dubravka","BUR","G","Skyler","CHE Sat 5:30AM","108.5","9.86","48%","+3.8%","Nov 8","WHU","L 2-3","3","","0","","","0","","0","","0","0","0","0","","","0","","0","0","","","0","","","0","","0"
