"ID","Player","Team","Position","Owner","Next Opponent","TFPts","TFP/G","Rostered %","+/- %","Date","Opponent","Score","Fantasy Points","Minutes Played","Goals","Assists (Official)","Assists (Second)","Key Passes (Assists on Shots)","Assists (Fantasy)","Shots on Target","Shots off the Post","Tackles Won","Dispossessed","Yellow Cards","Red Cards","Accurate Crosses","Accurate Crosses (No Corners)","Interceptions","Interceptions + Blocked Shots","Effective Clearances","Successful Dribbles (Contests Succeeded)","Blocked Crosses","Blocked Shots","Aerials Won","Penalty Kicks Missed","Penalty Kicks Drawn","Own Goals","Goals Against Outfielders ","Clean Sheets On Field"
"061vq","Erling Haaland","MCI","F","WCBFC","LIV Sun 9:30AM","221","22.1","100%","0%","Nov 2","BOU","W 3-1","31.5","81","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","1","2","0","0","2","0","0","0","1","0"
"061vq","Erling Haaland","MCI","F","WCBFC","LIV Sun 9:30AM","221","22.1","100%","0%","Oct 26","AVL","L 0-1","9","90","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","3","0","0","0","4","0","0","0","1","0"
"061vq","Erling Haaland","MCI","F","WCBFC","LIV Sun 9:30AM","221","22.1","100%","0%","Oct 18","EVE","W 2-0","31","90","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","2","1","0","0","2","0","0","0","0","1"
"061vq","Erling Haaland","MCI","F","WCBFC","LIV Sun 9:30AM","221","22.1","100%","0%","Oct 5","BRF","W 1-0","14","90","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","1"
"061vq","Erling Haaland","MCI","F","WCBFC","LIV Sun 9:30AM","221","22.1","100%","0%","Sep 27","BUR","W 5-1","38","90","2","1","0","2","0","3","0","0","1","0","0","0","0","0","0","2","0","0","0","2","0","0","0","1","0"
"061vq","Erling Haaland","MCI","F","WCBFC","LIV Sun 9:30AM","221","22.1","100%","0%","Sep 21","ARS","T 1-1","15","75","1","0","0","0","0","2","0","0","2","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","1"
"061vq","Erling Haaland","MCI","F","WCBFC","LIV Sun 9:30AM","221","22.1","100%","0%","Sep 14","MUN","W 3-0","33","86","2","0","0","1","0","3","1","0","0","0","0","0","0","0","0","6","2","0","0","1","0","0","0","0","1"
"061vq","Erling Haaland","MCI","F","WCBFC","LIV Sun 9:30AM","221","22.1","100%","0%","Aug 31","BHA","L 1-2","19","90","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0"
"061vq","Erling Haaland","MCI","F","WCBFC","LIV Sun 9:30AM","221","22.1","100%","0%","Aug 23","TOT","L 0-2","2.5","90","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","2","0"
"061vq","Erling Haaland","MCI","F","WCBFC","LIV Sun 9:30AM","221","22.1","100%","0%","Aug 16","WOL","W 4-0","28","72","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","@SUN Sat 10:30AM","186.25","18.62","100%","0%","Nov 1","BUR","W 2-0","40.5","90","1","0","1","1","0","1","0","5","0","0","0","2","0","3","3","4","1","0","0","3","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","@SUN Sat 10:30AM","186.25","18.62","100%","0%","Oct 26","CRY","W 1-0","30.25","81","0","0","0","3","1","1","0","3","1","0","0","2","1","2","2","1","0","0","0","2","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","@SUN Sat 10:30AM","186.25","18.62","100%","0%","Oct 18","FUL","W 1-0","10","90","0","0","0","1","0","0","0","0","3","0","0","0","0","0","1","2","1","0","1","4","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","@SUN Sat 10:30AM","186.25","18.62","100%","0%","Oct 4","WHU","W 2-0","24","78","1","0","0","3","0","1","0","0","1","0","0","1","1","0","0","2","2","0","0","0","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","@SUN Sat 10:30AM","186.25","18.62","100%","0%","Sep 28","NEW","W 2-1","26.75","90","0","1","0","3","0","0","0","1","0","0","0","3","3","0","1","3","1","0","1","3","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","@SUN Sat 10:30AM","186.25","18.62","100%","0%","Sep 21","MCI","T 1-1","10.25","90","0","0","0","2","0","0","0","1","0","0","0","2","2","0","0","1","0","0","0","1","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","@SUN Sat 10:30AM","186.25","18.62","100%","0%","Sep 13","NOT","W 3-0","1","21","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04agz","Declan Rice","ARS","M","ZDM","@SUN Sat 10:30AM","186.25","18.62","100%","0%","Aug 31","LIV","L 0-1","12.5","90","0","0","0","1","0","0","0","0","1","0","0","2","0","3","4","2","1","0","1","0","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","@SUN Sat 10:30AM","186.25","18.62","100%","0%","Aug 23","LEE","W 5-0","20","90","0","1","0","3","0","0","0","0","0","0","0","3","1","0","0","0","1","0","0","0","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","@SUN Sat 10:30AM","186.25","18.62","100%","0%","Aug 17","MUN","W 1-0","11","82","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@AVL Sun 7:00AM","185.5","18.55","100%","0%","Nov 2","MCI","L 1-3","7","90","0","0","0","0","0","2","0","0","1","0","0","1","1","0","0","0","1","0","0","2","0","0","0","3","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@AVL Sun 7:00AM","185.5","18.55","100%","0%","Oct 26","NOT","W 2-0","8","88","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@AVL Sun 7:00AM","185.5","18.55","100%","0%","Oct 18","CRY","T 3-3","14","90","0","0","0","0","1","1","0","0","4","1","0","0","0","0","1","0","3","0","1","5","0","0","0","3","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@AVL Sun 7:00AM","185.5","18.55","100%","0%","Oct 3","FUL","W 3-1","37","90","2","1","0","1","0","3","0","1","2","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@AVL Sun 7:00AM","185.5","18.55","100%","0%","Sep 27","LEE","T 2-2","20.5","90","1","0","0","1","0","1","0","1","2","0","0","0","0","0","1","0","3","0","1","2","0","0","0","2","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@AVL Sun 7:00AM","185.5","18.55","100%","0%","Sep 21","NEW","T 0-0","7","90","0","0","0","1","0","0","0","2","2","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@AVL Sun 7:00AM","185.5","18.55","100%","0%","Sep 13","BHA","W 2-1","34","90","1","1","0","2","0","1","0","3","0","0","0","0","0","0","0","3","3","0","0","4","0","0","0","1","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@AVL Sun 7:00AM","185.5","18.55","100%","0%","Aug 30","TOT","W 1-0","10","90","0","0","0","2","0","1","0","1","3","1","0","0","0","0","0","0","4","0","0","2","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@AVL Sun 7:00AM","185.5","18.55","100%","0%","Aug 23","WOL","W 1-0","17","90","0","1","0","3","0","1","1","0","4","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","@AVL Sun 7:00AM","185.5","18.55","100%","0%","Aug 15","LIV","L 2-4","31","90","2","0","0","0","0","2","0","1","1","0","0","0","0","1","1","0","1","0","0","5","0","0","0","4","0"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","@SUN Sat 10:30AM","173.75","17.38","100%","0%","Nov 1","BUR","W 2-0","21.25","90","0","1","0","1","0","0","0","0","0","1","0","0","0","1","1","9","0","0","0","4","0","0","0","0","1"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","@SUN Sat 10:30AM","173.75","17.38","100%","0%","Oct 26","CRY","W 1-0","21.5","90","0","0","0","1","0","0","1","0","0","0","0","0","0","1","3","6","0","0","2","4","0","0","0","0","1"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","@SUN Sat 10:30AM","173.75","17.38","100%","0%","Oct 18","FUL","W 1-0","23.25","90","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","6","0","0","0","0","1"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","@SUN Sat 10:30AM","173.75","17.38","100%","0%","Oct 4","WHU","W 2-0","15.5","90","0","0","0","0","0","0","0","1","0","0","0","0","0","2","2","8","0","0","0","2","0","0","0","0","1"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","@SUN Sat 10:30AM","173.75","17.38","100%","0%","Sep 28","NEW","W 2-1","34.25","90","1","0","0","0","0","1","0","1","0","0","0","0","0","3","5","11","0","0","2","8","0","0","0","1","0"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","@SUN Sat 10:30AM","173.75","17.38","100%","0%","Sep 21","MCI","T 1-1","4.75","90","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","7","0","0","0","2","0","0","0","1","0"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","@SUN Sat 10:30AM","173.75","17.38","100%","0%","Sep 13","NOT","W 3-0","18.25","90","0","0","0","0","0","0","0","2","0","0","0","0","0","1","3","5","1","0","2","1","0","0","0","0","1"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","@SUN Sat 10:30AM","173.75","17.38","100%","0%","Aug 31","LIV","L 0-1","4.5","90","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4","0","0","1","0","0","0","0","1","0"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","@SUN Sat 10:30AM","173.75","17.38","100%","0%","Aug 23","LEE","W 5-0","13.25","90","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","1","3","0","0","0","0","1"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","@SUN Sat 10:30AM","173.75","17.38","100%","0%","Aug 17","MUN","W 1-0","17.25","90","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","3","0","0","3","3","0","0","0","0","1"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","@CRY Sun 7:00AM","168.25","16.82","99%","-0.1%","Nov 1","LEE","W 3-0","28.5","87","0","1","1","2","1","0","0","1","2","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","1"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","@CRY Sun 7:00AM","168.25","16.82","99%","-0.1%","Oct 25","MUN","L 2-4","13.5","90","0","0","0","1","1","0","0","2","1","0","0","0","0","0","0","0","3","0","0","1","0","0","0","4","0"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","@CRY Sun 7:00AM","168.25","16.82","99%","-0.1%","Oct 18","NEW","W 2-1","10.25","88","0","0","0","1","0","0","0","3","0","0","0","1","0","0","0","1","1","0","0","2","0","0","0","1","0"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","@CRY Sun 7:00AM","168.25","16.82","99%","-0.1%","Oct 5","WOL","T 1-1","24.25","90","0","0","0","4","0","0","0","1","0","0","0","5","5","1","1","1","3","0","0","0","0","0","0","1","0"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","@CRY Sun 7:00AM","168.25","16.82","99%","-0.1%","Sep 27","CHE","W 3-1","18.5","90","0","1","0","1","0","0","0","2","1","0","0","1","1","1","1","2","2","0","0","1","0","0","0","1","0"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","@CRY Sun 7:00AM","168.25","16.82","99%","-0.1%","Sep 20","TOT","T 2-2","18","74","1","0","0","1","0","1","0","2","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","@CRY Sun 7:00AM","168.25","16.82","99%","-0.1%","Sep 13","BOU","L 1-2","19.5","90","0","1","0","1","0","1","0","2","1","0","0","1","1","0","0","0","2","0","0","3","0","0","0","2","0"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","@CRY Sun 7:00AM","168.25","16.82","99%","-0.1%","Aug 31","MCI","W 2-1","15.25","88","0","0","0","1","0","1","0","3","2","0","0","0","0","1","1","1","4","0","0","2","0","0","0","1","0"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","@CRY Sun 7:00AM","168.25","16.82","99%","-0.1%","Aug 24","EVE","L 0-2","15","90","0","0","0","4","0","0","0","0","2","0","0","0","0","2","2","0","5","0","0","0","0","0","0","2","0"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","@CRY Sun 7:00AM","168.25","16.82","99%","-0.1%","Aug 16","FUL","T 1-1","5.5","68","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","2","0","0","0","0","0","0","0","1"
"06jgi","Daniel Munoz","CRY","D,M","WCBFC","BHA Sun 7:00AM","167.5","16.75","100%","0%","Nov 1","BRF","W 2-0","18","90","0","0","0","0","0","1","0","1","0","0","0","0","0","3","3","2","0","0","0","2","0","0","0","0","1"
"06jgi","Daniel Munoz","CRY","D,M","WCBFC","BHA Sun 7:00AM","167.5","16.75","100%","0%","Oct 26","ARS","L 0-1","4.5","88","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","2","0","0","1","1","0","0","0","1","0"
"06jgi","Daniel Munoz","CRY","D,M","WCBFC","BHA Sun 7:00AM","167.5","16.75","100%","0%","Oct 18","BOU","T 3-3","28.5","90","0","1","0","2","1","1","0","3","0","0","0","0","0","1","1","5","0","0","0","3","0","0","0","3","0"
