"ID","Player","Team","Position","Owner","TFPts","TFP/G","Rostered %","+/- %","Date","Opponent","Score","Fantasy Points","Minutes Played","Goals","Assists (Official)","Assists (Second)","Key Passes (Assists on Shots)","Assists (Fantasy)","Shots on Target","Shots off the Post","Tackles Won","Dispossessed","Yellow Cards","Red Cards","Accurate Crosses","Accurate Crosses (No Corners)","Interceptions","Interceptions + Blocked Shots","Effective Clearances","Successful Dribbles (Contests Succeeded)","Blocked Crosses","Blocked Shots","Aerials Won","Penalty Kicks Missed","Penalty Kicks Drawn","Own Goals","Goals Against Outfielders ","Clean Sheets On Field"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","156.5","22.36","100%","0%","Oct 3","FUL","W 3-1","37","90","2","1","0","1","0","3","0","1","2","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","156.5","22.36","100%","0%","Sep 27","LEE","T 2-2","20.5","90","1","0","0","1","0","1","0","1","2","0","0","0","0","0","1","0","3","0","1","2","0","0","0","2","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","156.5","22.36","100%","0%","Sep 21","NEW","T 0-0","7","90","0","0","0","1","0","0","0","2","2","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","156.5","22.36","100%","0%","Sep 13","BHA","W 2-1","34","90","1","1","0","2","0","1","0","3","0","0","0","0","0","0","0","3","3","0","0","4","0","0","0","1","0"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","156.5","22.36","100%","0%","Aug 30","TOT","W 1-0","10","90","0","0","0","2","0","1","0","1","3","1","0","0","0","0","0","0","4","0","0","2","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","156.5","22.36","100%","0%","Aug 23","WOL","W 1-0","17","90","0","1","0","3","0","1","1","0","4","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"068y0","Antoine Semenyo","BOU","M,F","Hopeless","156.5","22.36","100%","0%","Aug 15","LIV","L 2-4","31","90","2","0","0","0","0","2","0","1","1","0","0","0","0","1","1","0","1","0","0","5","0","0","0","4","0"
"061vq","Erling Haaland","MCI","F","WCBFC","149.5","21.36","100%","0%","Oct 5","BRF","W 1-0","14","90","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","1"
"061vq","Erling Haaland","MCI","F","WCBFC","149.5","21.36","100%","0%","Sep 27","BUR","W 5-1","38","90","2","1","0","2","0","3","0","0","1","0","0","0","0","0","0","2","0","0","0","2","0","0","0","1","0"
"061vq","Erling Haaland","MCI","F","WCBFC","149.5","21.36","100%","0%","Sep 21","ARS","T 1-1","15","75","1","0","0","0","0","2","0","0","2","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","1"
"061vq","Erling Haaland","MCI","F","WCBFC","149.5","21.36","100%","0%","Sep 14","MUN","W 3-0","33","86","2","0","0","1","0","3","1","0","0","0","0","0","0","0","0","6","2","0","0","1","0","0","0","0","1"
"061vq","Erling Haaland","MCI","F","WCBFC","149.5","21.36","100%","0%","Aug 31","BHA","L 1-2","19","90","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0"
"061vq","Erling Haaland","MCI","F","WCBFC","149.5","21.36","100%","0%","Aug 23","TOT","L 0-2","2.5","90","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","2","0"
"061vq","Erling Haaland","MCI","F","WCBFC","149.5","21.36","100%","0%","Aug 16","WOL","W 4-0","28","72","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1"
"06fv8","Mohammed Kudus","TOT","M,F","Souf","141.5","20.21","100%","0%","Oct 4","LEE","W 2-1","26.5","88","1","1","0","1","0","2","0","1","5","1","0","0","0","0","0","0","6","0","0","1","0","0","0","1","0"
"06fv8","Mohammed Kudus","TOT","M,F","Souf","141.5","20.21","100%","0%","Sep 27","WOL","T 1-1","15.5","90","0","0","0","1","0","2","0","3","7","0","0","2","2","0","0","0","5","0","0","0","0","0","0","1","0"
"06fv8","Mohammed Kudus","TOT","M,F","Souf","141.5","20.21","100%","0%","Sep 20","BHA","T 2-2","23","90","0","1","0","2","1","0","0","0","2","1","0","2","1","0","0","0","6","0","0","0","0","0","0","2","0"
"06fv8","Mohammed Kudus","TOT","M,F","Souf","141.5","20.21","100%","0%","Sep 13","WHU","W 3-0","14","90","0","0","0","2","0","1","0","0","2","0","0","2","0","0","0","0","4","0","0","1","0","0","0","0","1"
"06fv8","Mohammed Kudus","TOT","M,F","Souf","141.5","20.21","100%","0%","Aug 30","BOU","L 0-1","13.5","90","0","0","0","1","0","0","0","2","4","0","0","2","2","0","0","0","4","0","0","3","0","0","0","1","0"
"06fv8","Mohammed Kudus","TOT","M,F","Souf","141.5","20.21","100%","0%","Aug 23","MCI","W 2-0","12","85","0","0","0","1","0","0","0","2","0","0","0","1","1","0","0","0","3","0","0","0","0","0","0","0","1"
"06fv8","Mohammed Kudus","TOT","M,F","Souf","141.5","20.21","100%","0%","Aug 16","BUR","W 3-0","37","84","0","2","0","5","0","0","0","1","1","0","0","5","3","0","0","0","2","0","0","0","0","0","0","0","1"
"02lm7","Jack Grealish","EVE","M","Souf","130.75","18.68","97%","0%","Oct 5","CRY","W 2-1","17.75","90","1","0","0","0","0","3","0","1","4","0","0","0","0","0","0","1","2","1","0","0","0","0","0","1","0"
"02lm7","Jack Grealish","EVE","M","Souf","130.75","18.68","97%","0%","Sep 29","WHU","T 1-1","10.75","90","0","0","0","4","0","0","0","0","1","0","0","0","0","1","1","1","1","1","0","0","0","0","0","1","0"
"02lm7","Jack Grealish","EVE","M","Souf","130.75","18.68","97%","0%","Sep 20","LIV","L 1-2","18.75","90","0","0","1","3","0","0","0","2","1","1","0","2","2","1","2","1","0","0","1","1","0","0","0","2","0"
"02lm7","Jack Grealish","EVE","M","Souf","130.75","18.68","97%","0%","Sep 13","AVL","T 0-0","21.5","90","0","0","0","5","0","1","0","3","6","1","0","2","2","0","1","0","2","0","1","0","0","0","0","0","1"
"02lm7","Jack Grealish","EVE","M","Souf","130.75","18.68","97%","0%","Aug 30","WOL","W 3-2","31.5","87","0","2","1","2","0","1","0","0","1","0","0","0","0","2","2","0","5","0","0","0","0","0","0","2","0"
"02lm7","Jack Grealish","EVE","M","Souf","130.75","18.68","97%","0%","Aug 24","BHA","W 2-0","29","88","0","2","0","3","0","0","0","3","3","0","0","0","0","0","1","0","1","0","1","1","0","0","0","0","1"
"02lm7","Jack Grealish","EVE","M","Souf","130.75","18.68","97%","0%","Aug 18","LEE","L 0-1","1.5","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0"
"06dmj","Jurrien Timber","ARS","D","Ellis","124","17.71","98%","+0.2%","Oct 4","WHU","W 2-0","29.75","90","0","0","0","1","1","1","0","4","0","0","0","0","0","2","2","1","0","1","0","0","0","1","0","0","1"
"06dmj","Jurrien Timber","ARS","D","Ellis","124","17.71","98%","+0.2%","Sep 28","NEW","W 2-1","16.75","90","0","0","0","3","0","1","0","0","1","0","0","1","1","1","1","3","3","0","0","2","0","0","0","1","0"
"06dmj","Jurrien Timber","ARS","D","Ellis","124","17.71","98%","+0.2%","Sep 21","MCI","T 1-1","8.5","79","0","0","0","1","0","0","0","5","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
"06dmj","Jurrien Timber","ARS","D","Ellis","124","17.71","98%","+0.2%","Sep 13","NOT","W 3-0","17.5","90","0","0","0","1","0","1","0","2","0","0","0","0","0","0","0","4","1","1","0","2","0","0","0","0","1"
"06dmj","Jurrien Timber","ARS","D","Ellis","124","17.71","98%","+0.2%","Aug 31","LIV","L 0-1","4.25","90","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","1","0"
"06dmj","Jurrien Timber","ARS","D","Ellis","124","17.71","98%","+0.2%","Aug 23","LEE","W 5-0","47.5","63","2","1","0","2","0","2","0","1","2","0","0","0","0","2","2","0","0","0","0","2","0","0","0","0","1"
"06dmj","Jurrien Timber","ARS","D","Ellis","124","17.71","98%","+0.2%","Aug 17","MUN","W 1-0","-0.25","18","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"063e7","Marcos Senesi","BOU","D","Hopeless","121.75","17.39","91%","+0.5%","Oct 3","FUL","W 3-1","5.75","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","0","2","1","0","0","0","1","0"
"063e7","Marcos Senesi","BOU","D","Hopeless","121.75","17.39","91%","+0.5%","Sep 27","LEE","T 2-2","29.25","90","0","1","0","1","0","0","0","2","1","0","0","1","1","3","5","7","0","0","2","5","0","0","0","2","0"
"063e7","Marcos Senesi","BOU","D","Hopeless","121.75","17.39","91%","+0.5%","Sep 21","NEW","T 0-0","19","90","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","8","0","0","0","3","0","0","0","0","1"
"063e7","Marcos Senesi","BOU","D","Hopeless","121.75","17.39","91%","+0.5%","Sep 13","BHA","W 2-1","12.75","90","0","0","0","0","0","0","0","2","1","1","0","1","1","0","2","7","1","0","2","4","0","0","0","1","0"
"063e7","Marcos Senesi","BOU","D","Hopeless","121.75","17.39","91%","+0.5%","Aug 30","TOT","W 1-0","29","90","0","1","0","1","0","0","0","2","0","0","0","0","0","4","4","8","0","0","0","1","0","0","0","0","1"
"063e7","Marcos Senesi","BOU","D","Hopeless","121.75","17.39","91%","+0.5%","Aug 23","WOL","W 1-0","15.25","90","0","0","0","0","0","0","0","1","0","0","0","0","0","2","2","11","0","0","0","1","0","0","0","0","1"
"063e7","Marcos Senesi","BOU","D","Hopeless","121.75","17.39","91%","+0.5%","Aug 15","LIV","L 2-4","10.75","90","0","0","0","1","0","0","0","2","0","0","0","1","1","1","1","11","0","0","0","1","0","0","0","4","0"
"06jgi","Daniel Munoz","CRY","D,M","WCBFC","117.5","16.79","100%","0%","Oct 5","EVE","L 1-2","29.5","90","1","0","0","0","0","1","0","3","0","1","0","0","0","5","5","4","0","0","0","5","0","0","0","2","0"
"06jgi","Daniel Munoz","CRY","D,M","WCBFC","117.5","16.79","100%","0%","Sep 27","LIV","W 2-1","13","90","0","0","0","1","0","2","0","2","0","0","0","0","0","1","1","6","0","0","0","1","0","0","0","1","0"
"06jgi","Daniel Munoz","CRY","D,M","WCBFC","117.5","16.79","100%","0%","Sep 20","WHU","W 2-1","8.75","90","0","0","0","1","0","0","0","1","0","0","0","1","1","1","1","1","0","1","0","2","0","0","0","1","0"
"06jgi","Daniel Munoz","CRY","D,M","WCBFC","117.5","16.79","100%","0%","Sep 13","SUN","T 0-0","14.75","90","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","3","0","0","0","6","0","0","0","0","1"
"06jgi","Daniel Munoz","CRY","D,M","WCBFC","117.5","16.79","100%","0%","Aug 31","AVL","W 3-0","22.25","90","0","0","0","1","0","0","0","5","1","0","0","1","1","1","1","5","0","2","0","1","0","0","0","0","1"
"06jgi","Daniel Munoz","CRY","D,M","WCBFC","117.5","16.79","100%","0%","Aug 24","NOT","T 1-1","17.25","90","0","1","0","1","0","0","0","0","0","0","0","3","3","0","0","1","0","3","0","1","0","0","0","1","0"
"06jgi","Daniel Munoz","CRY","D,M","WCBFC","117.5","16.79","100%","0%","Aug 17","CHE","T 0-0","12","90","0","0","0","0","0","0","0","0","0","1","0","0","0","2","2","4","1","0","0","2","0","0","0","0","1"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","116","16.57","100%","+0.6%","Oct 5","WOL","T 1-1","24.25","90","0","0","0","4","0","0","0","1","0","0","0","5","5","1","1","1","3","0","0","0","0","0","0","1","0"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","116","16.57","100%","+0.6%","Sep 27","CHE","W 3-1","18.5","90","0","1","0","1","0","0","0","2","1","0","0","1","1","1","1","2","2","0","0","1","0","0","0","1","0"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","116","16.57","100%","+0.6%","Sep 20","TOT","T 2-2","18","74","1","0","0","1","0","1","0","2","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","116","16.57","100%","+0.6%","Sep 13","BOU","L 1-2","19.5","90","0","1","0","1","0","1","0","2","1","0","0","1","1","0","0","0","2","0","0","3","0","0","0","2","0"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","116","16.57","100%","+0.6%","Aug 31","MCI","W 2-1","15.25","88","0","0","0","1","0","1","0","3","2","0","0","0","0","1","1","1","4","0","0","2","0","0","0","1","0"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","116","16.57","100%","+0.6%","Aug 24","EVE","L 0-2","15","90","0","0","0","4","0","0","0","0","2","0","0","0","0","2","2","0","5","0","0","0","0","0","0","2","0"
"06c6g","Yankuba Minteh","BHA","M,F","WCBFC","116","16.57","100%","+0.6%","Aug 16","FUL","T 1-1","5.5","68","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","2","0","0","0","0","0","0","0","1"
"04spw","James Garner","EVE","M","Hopeless","111.75","15.96","78%","+3.3%","Oct 5","CRY","W 2-1","15.75","90","0","0","0","2","0","0","0","0","0","1","0","3","3","2","3","3","0","1","1","1","0","0","0","1","0"
"04spw","James Garner","EVE","M","Hopeless","111.75","15.96","78%","+3.3%","Sep 29","WHU","T 1-1","20.5","90","0","1","0","1","0","3","0","1","0","0","0","1","1","1","1","2","0","0","0","0","0","0","0","1","0"
"04spw","James Garner","EVE","M","Hopeless","111.75","15.96","78%","+3.3%","Sep 20","LIV","L 1-2","10.75","90","0","0","0","0","0","0","0","3","1","0","0","0","0","3","3","3","0","0","0","1","0","0","0","2","0"
"04spw","James Garner","EVE","M","Hopeless","111.75","15.96","78%","+3.3%","Sep 13","AVL","T 0-0","20.75","90","0","0","0","4","0","0","0","3","0","0","0","3","1","0","1","1","0","0","1","0","0","0","0","0","1"
"04spw","James Garner","EVE","M","Hopeless","111.75","15.96","78%","+3.3%","Aug 30","WOL","W 3-2","11.75","90","0","0","0","0","0","0","0","3","0","0","0","0","0","3","3","1","1","0","0","1","0","0","0","2","0"
"04spw","James Garner","EVE","M","Hopeless","111.75","15.96","78%","+3.3%","Aug 24","BHA","W 2-0","25.25","90","1","0","0","2","0","1","0","1","0","1","0","1","0","1","1","9","0","1","0","2","0","0","0","0","1"
"04spw","James Garner","EVE","M","Hopeless","111.75","15.96","78%","+3.3%","Aug 18","LEE","L 0-1","7","90","0","0","0","0","0","0","0","2","0","0","0","0","0","1","2","2","0","0","1","0","0","0","0","1","0"
"05rb8","Moises Caicedo","CHE","M","WCBFC","110.75","15.82","96%","-0.5%","Oct 4","LIV","W 2-1","19.25","90","1","0","0","0","0","2","0","2","1","0","0","0","0","1","1","1","0","0","0","1","0","0","0","1","0"
"05rb8","Moises Caicedo","CHE","M","WCBFC","110.75","15.82","96%","-0.5%","Sep 27","BHA","L 1-3","6.75","90","0","0","0","0","0","0","0","1","1","0","0","0","0","2","3","1","1","0","1","0","0","0","0","3","0"
"05rb8","Moises Caicedo","CHE","M","WCBFC","110.75","15.82","96%","-0.5%","Sep 20","MUN","L 1-2","15","90","0","0","0","1","0","0","0","5","1","0","0","0","0","3","3","0","1","0","0","0","0","0","0","2","0"
"05rb8","Moises Caicedo","CHE","M","WCBFC","110.75","15.82","96%","-0.5%","Sep 13","BRF","T 2-2","24.25","90","1","0","0","0","0","1","0","2","2","0","0","1","1","4","4","1","0","0","0","1","0","0","0","2","0"
"05rb8","Moises Caicedo","CHE","M","WCBFC","110.75","15.82","96%","-0.5%","Aug 30","FUL","W 2-0","13.5","90","0","0","0","0","0","0","0","1","1","1","0","0","0","5","6","2","0","0","1","0","0","0","0","0","1"
"05rb8","Moises Caicedo","CHE","M","WCBFC","110.75","15.82","96%","-0.5%","Aug 22","WHU","W 5-1","16.75","90","1","0","0","0","0","1","0","2","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1","0"
"05rb8","Moises Caicedo","CHE","M","WCBFC","110.75","15.82","96%","-0.5%","Aug 17","CRY","T 0-0","15.25","90","0","0","0","0","0","0","0","1","1","0","0","0","0","3","5","1","1","0","2","1","0","0","0","0","1"
"05r94","Iliman Ndiaye","EVE","M,F","Nukes","109.25","15.61","100%","0%","Oct 5","CRY","W 2-1","18","88","1","0","0","2","0","1","0","2","3","1","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0"
"05r94","Iliman Ndiaye","EVE","M,F","Nukes","109.25","15.61","100%","0%","Sep 29","WHU","T 1-1","10","80","0","0","0","2","0","1","0","1","2","0","0","1","1","0","0","0","1","0","0","1","0","0","0","1","0"
"05r94","Iliman Ndiaye","EVE","M,F","Nukes","109.25","15.61","100%","0%","Sep 20","LIV","L 1-2","21.25","85","0","1","0","2","0","0","0","2","2","1","0","1","1","0","0","1","9","0","0","0","0","0","0","2","0"
"05r94","Iliman Ndiaye","EVE","M,F","Nukes","109.25","15.61","100%","0%","Sep 13","AVL","T 0-0","15","90","0","0","0","2","0","0","0","2","1","0","0","1","1","0","0","2","3","0","0","1","0","0","0","0","1"
"05r94","Iliman Ndiaye","EVE","M,F","Nukes","109.25","15.61","100%","0%","Aug 30","WOL","W 3-2","15","88","1","0","0","2","0","1","0","1","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0"
"05r94","Iliman Ndiaye","EVE","M,F","Nukes","109.25","15.61","100%","0%","Aug 24","BHA","W 2-0","21.5","63","1","0","0","0","0","2","0","1","2","0","0","0","0","1","1","0","3","0","0","0","0","0","0","0","1"
"05r94","Iliman Ndiaye","EVE","M,F","Nukes","109.25","15.61","100%","0%","Aug 18","LEE","L 0-1","8.5","90","0","0","0","1","0","0","0","2","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","1","0"
"050jq","Marc Guehi","CRY","D","Nukes","108.25","15.46","98%","+0.2%","Oct 5","EVE","L 1-2","13","90","0","0","0","0","0","1","0","2","2","0","0","0","0","1","1","8","0","0","0","6","0","0","0","2","0"
"050jq","Marc Guehi","CRY","D","Nukes","108.25","15.46","98%","+0.2%","Sep 27","LIV","W 2-1","15.75","90","0","1","0","1","0","0","0","1","0","0","0","0","0","1","1","7","0","0","0","2","0","0","0","1","0"
"050jq","Marc Guehi","CRY","D","Nukes","108.25","15.46","98%","+0.2%","Sep 20","WHU","W 2-1","18.75","90","0","0","0","0","1","0","0","4","1","0","0","0","0","2","2","3","0","0","0","4","0","0","0","1","0"
"050jq","Marc Guehi","CRY","D","Nukes","108.25","15.46","98%","+0.2%","Sep 13","SUN","T 0-0","15.5","90","0","0","0","1","0","0","0","0","0","0","0","0","0","2","2","4","0","1","0","2","0","0","0","0","1"
"050jq","Marc Guehi","CRY","D","Nukes","108.25","15.46","98%","+0.2%","Aug 31","AVL","W 3-0","26.25","90","1","0","0","0","0","1","0","3","1","0","0","0","0","1","1","5","0","0","0","1","0","0","0","0","1"
"050jq","Marc Guehi","CRY","D","Nukes","108.25","15.46","98%","+0.2%","Aug 24","NOT","T 1-1","6.25","90","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","3","0","0","0","2","0","0","0","1","0"
"050jq","Marc Guehi","CRY","D","Nukes","108.25","15.46","98%","+0.2%","Aug 17","CHE","T 0-0","12.75","90","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","5","0","0","0","2","0","0","0","0","1"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","107.75","15.39","100%","0%","Oct 4","WHU","W 2-0","15.5","90","0","0","0","0","0","0","0","1","0","0","0","0","0","2","2","8","0","0","0","2","0","0","0","0","1"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","107.75","15.39","100%","0%","Sep 28","NEW","W 2-1","34.25","90","1","0","0","0","0","1","0","1","0","0","0","0","0","3","5","11","0","0","2","8","0","0","0","1","0"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","107.75","15.39","100%","0%","Sep 21","MCI","T 1-1","4.75","90","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","7","0","0","0","2","0","0","0","1","0"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","107.75","15.39","100%","0%","Sep 13","NOT","W 3-0","18.25","90","0","0","0","0","0","0","0","2","0","0","0","0","0","1","3","5","1","0","2","1","0","0","0","0","1"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","107.75","15.39","100%","0%","Aug 31","LIV","L 0-1","4.5","90","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4","0","0","1","0","0","0","0","1","0"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","107.75","15.39","100%","0%","Aug 23","LEE","W 5-0","13.25","90","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","1","3","0","0","0","0","1"
"05nzu","Gabriel Magalhaes","ARS","D","Hopeless","107.75","15.39","100%","0%","Aug 17","MUN","W 1-0","17.25","90","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","3","0","0","3","3","0","0","0","0","1"
"05akv","Tyrick Mitchell","CRY","D,M","Evan","107.75","15.39","99%","+0.9%","Oct 5","EVE","L 1-2","9","90","0","0","0","0","0","1","1","1","1","0","0","0","0","2","2","4","0","0","0","0","0","0","0","2","0"
"05akv","Tyrick Mitchell","CRY","D,M","Evan","107.75","15.39","99%","+0.9%","Sep 27","LIV","W 2-1","12.25","90","0","0","0","1","0","0","0","2","3","0","0","1","1","3","3","5","0","0","0","0","0","0","0","1","0"
"05akv","Tyrick Mitchell","CRY","D,M","Evan","107.75","15.39","99%","+0.9%","Sep 20","WHU","W 2-1","25.25","90","1","0","0","3","0","1","0","2","0","1","0","2","2","1","1","1","0","1","0","0","0","0","0","1","0"
"05akv","Tyrick Mitchell","CRY","D,M","Evan","107.75","15.39","99%","+0.9%","Sep 13","SUN","T 0-0","19.5","90","0","0","0","1","0","0","0","2","1","0","0","2","2","1","2","4","0","0","1","0","0","0","0","0","1"
"05akv","Tyrick Mitchell","CRY","D,M","Evan","107.75","15.39","99%","+0.9%","Aug 31","AVL","W 3-0","17.5","90","0","0","0","1","0","0","0","3","1","0","0","1","1","1","1","2","0","2","0","0","0","0","0","0","1"
"05akv","Tyrick Mitchell","CRY","D,M","Evan","107.75","15.39","99%","+0.9%","Aug 24","NOT","T 1-1","6.5","90","0","0","0","2","0","0","0","1","0","1","0","1","1","0","0","2","1","0","0","0","0","0","0","1","0"
"05akv","Tyrick Mitchell","CRY","D,M","Evan","107.75","15.39","99%","+0.9%","Aug 17","CHE","T 0-0","17.75","90","0","0","0","0","0","0","0","5","1","0","0","0","0","0","1","5","0","1","1","1","0","0","0","0","1"
"0435m","Granit Xhaka","SUN","M","Nukes","107.5","15.36","84%","+4.7%","Oct 4","MUN","L 0-2","10","90","0","0","0","1","0","1","0","0","1","1","0","1","0","2","3","2","2","0","1","1","0","0","0","2","0"
"0435m","Granit Xhaka","SUN","M","Nukes","107.5","15.36","84%","+4.7%","Sep 27","NOT","W 1-0","22.5","90","0","1","0","1","0","0","0","1","2","0","0","1","0","1","3","8","0","0","2","2","0","0","0","0","1"
"0435m","Granit Xhaka","SUN","M","Nukes","107.5","15.36","84%","+4.7%","Sep 21","AVL","T 1-1","14.25","90","0","1","0","2","0","1","0","2","2","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0"
"0435m","Granit Xhaka","SUN","M","Nukes","107.5","15.36","84%","+4.7%","Sep 13","CRY","T 0-0","20.5","90","0","0","0","1","0","0","0","1","0","0","0","1","0","2","2","8","1","0","0","7","0","0","0","0","1"
"0435m","Granit Xhaka","SUN","M","Nukes","107.5","15.36","84%","+4.7%","Aug 30","BRF","W 2-1","20.25","90","0","1","0","1","0","0","0","1","0","1","0","1","1","1","1","5","0","0","0","7","0","0","0","1","0"
"0435m","Granit Xhaka","SUN","M","Nukes","107.5","15.36","84%","+4.7%","Aug 23","BUR","L 0-2","6.25","90","0","0","0","1","0","0","0","0","1","0","0","0","0","2","2","3","0","0","0","1","0","0","0","2","0"
"0435m","Granit Xhaka","SUN","M","Nukes","107.5","15.36","84%","+4.7%","Aug 16","WHU","W 3-0","13.75","90","0","0","0","2","0","0","0","0","1","0","0","2","0","1","2","1","0","0","1","2","0","0","0","0","1"
"061vk","Jaidon Anthony","BUR","M,F","Hopeless","106","15.14","92%","+2.5%","Oct 5","AVL","L 1-2","1","58","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"061vk","Jaidon Anthony","BUR","M,F","Hopeless","106","15.14","92%","+2.5%","Sep 27","MCI","L 1-5","23.5","87","1","0","0","3","0","1","0","1","1","1","0","1","1","2","2","2","0","0","0","2","0","0","0","3","0"
"061vk","Jaidon Anthony","BUR","M,F","Hopeless","106","15.14","92%","+2.5%","Sep 20","NOT","T 1-1","26.5","90","1","0","0","1","0","3","0","1","1","0","0","1","1","1","1","1","4","0","0","0","0","0","0","1","0"
"061vk","Jaidon Anthony","BUR","M,F","Hopeless","106","15.14","92%","+2.5%","Sep 14","LIV","L 0-1","6","88","0","0","0","0","0","0","0","1","1","0","0","0","0","1","2","1","1","0","1","0","0","0","0","0","1"
"061vk","Jaidon Anthony","BUR","M,F","Hopeless","106","15.14","92%","+2.5%","Aug 30","MUN","L 2-3","14.5","90","1","0","0","0","0","1","0","0","2","1","0","0","0","1","3","1","1","0","2","0","0","0","0","3","0"
"061vk","Jaidon Anthony","BUR","M,F","Hopeless","106","15.14","92%","+2.5%","Aug 23","SUN","W 2-0","28.5","90","1","1","0","1","0","1","0","2","3","0","0","0","0","1","1","0","2","0","0","2","0","0","0","0","1"
"061vk","Jaidon Anthony","BUR","M,F","Hopeless","106","15.14","92%","+2.5%","Aug 16","TOT","L 0-3","6","84","0","0","0","2","0","1","0","0","3","0","0","1","1","0","0","0","0","0","0","1","0","0","0","3","0"
"04agz","Declan Rice","ARS","M","ZDM","105.5","15.07","100%","+0.2%","Oct 4","WHU","W 2-0","24","78","1","0","0","3","0","1","0","0","1","0","0","1","1","0","0","2","2","0","0","0","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","105.5","15.07","100%","+0.2%","Sep 28","NEW","W 2-1","26.75","90","0","1","0","3","0","0","0","1","0","0","0","3","3","0","1","3","1","0","1","3","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","105.5","15.07","100%","+0.2%","Sep 21","MCI","T 1-1","10.25","90","0","0","0","2","0","0","0","1","0","0","0","2","2","0","0","1","0","0","0","1","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","105.5","15.07","100%","+0.2%","Sep 13","NOT","W 3-0","1","21","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"04agz","Declan Rice","ARS","M","ZDM","105.5","15.07","100%","+0.2%","Aug 31","LIV","L 0-1","12.5","90","0","0","0","1","0","0","0","0","1","0","0","2","0","3","4","2","1","0","1","0","0","0","0","1","0"
"04agz","Declan Rice","ARS","M","ZDM","105.5","15.07","100%","+0.2%","Aug 23","LEE","W 5-0","20","90","0","1","0","3","0","0","0","0","0","0","0","3","1","0","0","0","1","0","0","0","0","0","0","0","1"
"04agz","Declan Rice","ARS","M","ZDM","105.5","15.07","100%","+0.2%","Aug 17","MUN","W 1-0","11","82","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1"
